"NO_TABELA_CARGA","NU_SISTEMA","NO_MODULO","NU_WORKFLOW","CO_PERIODICIDADE"
"atrtb029_agndocnco",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt49_hstro_cnjno_trfa",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt25_trnsotrfa",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_tarifas",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_regiao_estadual",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_operacoes",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_manual_sidec",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_feriados",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_emissao_listao_listinha",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_cobradora",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_agencias",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tagtbi21_batimento_cheque",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagxtb02fase",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"decint007_operacao_credito",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"decint012_tdcl",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"decint011_conta_produto_periodo",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"aoimq15_renegociacao",3138,"EXTRACAO DE DADOS DO SIAOI",1008,"Eventual"
"aoimq12_extrato",3138,"EXTRACAO DE DADOS DO SIAOI",1008,"Eventual"
"cettb055_controle_bonus",1396,"EXTRACAO DE DADOS DO SICET",1057,"Eventual"
"opimtv07_produto",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"autxtb03produtos",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp21_unddeplto",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp19_logsgmno",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp17_logdsctrf",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp06_sgmoprmzo",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp02_lmtecanal",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbh01_historico_lancamento",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtb091_comando_transacao",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb054_dbtoatmto",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb039_evntoctbl",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
